index,abs_error_float,abs_error_lsb
564,0.00161889,0.414436
565,0.00097025,0.248383
566,0.00241093,0.617198
567,0.00003645,0.009331
568,0.00063644,0.162930
569,0.00082010,0.209945
570,0.00022601,0.057859
571,0.00125834,0.322135
572,0.00186415,0.477221
573,0.00127096,0.325366
574,0.00157677,0.403654
575,0.00242738,0.621409
576,0.00072118,0.184622
577,0.00091596,0.234485
578,0.00252910,0.647451
579,0.00279002,0.714245
580,0.00259831,0.665167
581,0.00060467,0.154795
582,0.00375175,0.960449
583,0.00171733,0.439637
584,0.00017588,0.045026
585,0.00095488,0.244450
586,0.00206702,0.529156
587,0.00042856,0.109712
588,0.00036692,0.093932
589,0.00009643,0.024685
590,0.00014762,0.037792
591,0.00080954,0.207241
592,0.00362319,0.927537
593,0.00131552,0.336774
594,0.00047499,0.121598
595,0.00230225,0.589375
596,0.00013271,0.033974
597,0.00018822,0.048183
598,0.00197302,0.505092
599,0.00086401,0.221186
600,0.00002499,0.006398
601,0.00247477,0.633541
602,0.00055103,0.141063
603,0.00146854,0.375945
604,0.00182114,0.466211
605,0.00132285,0.338650
606,0.00201654,0.516233
607,0.00217034,0.555606
608,0.00179356,0.459152
609,0.00086236,0.220764
610,0.00284707,0.728851
611,0.00078547,0.201080
612,0.00098175,0.251327
613,0.00178905,0.457996
614,0.00012136,0.031067
615,0.00065804,0.168457
616,0.00088332,0.226129
617,0.00019012,0.048672
618,0.00201711,0.516381
619,0.00126709,0.324375
620,0.00297221,0.760885
621,0.00080006,0.204815
622,0.00080140,0.205159
623,0.00040551,0.103810
624,0.00136460,0.349338
625,0.00168737,0.431967
626,0.00144670,0.370354
627,0.00176110,0.450841
628,0.00145949,0.373630
629,0.00103484,0.264920
630,0.00245875,0.629441
631,0.00003281,0.008399
632,0.00070688,0.180961
633,0.00026941,0.068969
634,0.00007125,0.018239
635,0.00095330,0.244045
636,0.00157498,0.403194
637,0.00152158,0.389526
638,0.00132287,0.338656
639,0.00247777,0.634310
640,0.00057962,0.148384
641,0.00113068,0.289454
642,0.00238126,0.609603
643,0.00271151,0.694147
644,0.00257715,0.659751
645,0.00069183,0.177108
646,0.00344851,0.882819
647,0.00137634,0.352343
648,0.00022686,0.058075
649,0.00072606,0.185872
650,0.00216989,0.555491
651,0.00063634,0.162904
652,0.00067846,0.173687
653,0.00017204,0.044043
654,0.00019645,0.050292
655,0.00066405,0.169996
656,0.00372237,0.952926
657,0.00092793,0.237549
658,0.00027993,0.071662
659,0.00208781,0.534480
660,0.00019698,0.050426
661,0.00036358,0.093077
662,0.00182656,0.467600
663,0.00062766,0.160681
664,0.00008530,0.021836
665,0.00220916,0.565544
666,0.00034748,0.088955
667,0.00186528,0.477512
668,0.00172536,0.441692
669,0.00157464,0.403108
670,0.00196465,0.502950
671,0.00155830,0.398926
672,0.00136872,0.350393
673,0.00082608,0.211476
674,0.00306136,0.783707
675,0.00095017,0.243244
676,0.00121951,0.312194
677,0.00179769,0.460210
678,0.00004034,0.010327
679,0.00036168,0.092590
680,0.00106764,0.273316
681,0.00005804,0.014857
682,0.00234183,0.599507
683,0.00105785,0.270809
684,0.00279246,0.714870
685,0.00049829,0.127561
686,0.00045714,0.117029
687,0.00020622,0.052792
688,0.00107030,0.273996
689,0.00149671,0.383158
690,0.00141716,0.362793
691,0.00162052,0.414852
692,0.00091573,0.234428
693,0.00107842,0.276077
694,0.00300497,0.769273
695,0.00003474,0.008895
696,0.00078088,0.199906
697,0.00052110,0.133402
698,0.00039765,0.101798
699,0.00126851,0.324738
700,0.00087439,0.223843
701,0.00145990,0.373734
702,0.00143902,0.368389
703,0.00232272,0.594617
704,0.00002221,0.005686
705,0.00103431,0.264784
706,0.00235480,0.602829
707,0.00259692,0.664811
708,0.00274444,0.702578
709,0.00063377,0.162246
710,0.00381082,0.975569
711,0.00095834,0.245335
712,0.00013477,0.034501
713,0.00059208,0.151572
714,0.00209627,0.536645
715,0.00082665,0.211623
716,0.00056764,0.145316
717,0.00038816,0.099369
718,0.00045495,0.116466
719,0.00051171,0.130999
720,0.00356297,0.912120
721,0.00125269,0.320690
722,0.00037693,0.096494
723,0.00166316,0.425769
724,0.00001232,0.003155
725,0.00011590,0.029671
726,0.00132336,0.338780
727,0.00073147,0.187257
728,0.00035131,0.089935
729,0.00256183,0.655830
730,0.00018648,0.047739
731,0.00192752,0.493444
732,0.00106238,0.271970
733,0.00184361,0.471963
734,0.00194500,0.497920
735,0.00180295,0.461556
736,0.00111798,0.286203
737,0.00088662,0.226976
738,0.00252946,0.647541
739,0.00055351,0.141697
740,0.00089340,0.228711
741,0.00179395,0.459250
742,0.00016366,0.041897
743,0.00001109,0.002839
744,0.00108418,0.277550
745,0.00030392,0.077804
746,0.00175956,0.450447
747,0.00105176,0.269249
748,0.00307661,0.787612
749,0.00070477,0.180422
750,0.00042107,0.107794
751,0.00088479,0.226506
752,0.00152556,0.390542
753,0.00180317,0.461611
754,0.00088810,0.227355
755,0.00154806,0.396304
756,0.00090977,0.232900
757,0.00067306,0.172304
758,0.00236809,0.606232
759,0.00017701,0.045314
760,0.00076629,0.196170
761,0.00066379,0.169931
762,0.00060436,0.154717
763,0.00160661,0.411293
764,0.00169981,0.435151
765,0.00157320,0.402739
766,0.00180721,0.462645
767,0.00223808,0.572948
768,0.00036241,0.092777
769,0.00114988,0.294369
770,0.00248761,0.636829
771,0.00254916,0.652584
772,0.00310304,0.794379
773,0.00076656,0.196240
774,0.00374948,0.959866
775,0.00135292,0.346347
776,0.00010914,0.027939
777,0.00091887,0.235230
778,0.00204590,0.523750
779,0.00089911,0.230172
780,0.00058350,0.149377
781,0.00045373,0.116154
782,0.00022971,0.058806
783,0.00086750,0.222081
784,0.00353339,0.904547
785,0.00092713,0.237346
786,0.00012601,0.032259
787,0.00194355,0.497550
788,0.00011090,0.028391
789,0.00030024,0.076860
790,0.00154472,0.395447
791,0.00063093,0.161518
792,0.00005505,0.014094
793,0.00253317,0.648491
794,0.00031899,0.081661
795,0.00149480,0.382668
796,0.00159416,0.408104
797,0.00158383,0.405460
798,0.00184113,0.471330
799,0.00192973,0.494012
800,0.00143674,0.367806
801,0.00082202,0.210436
802,0.00274969,0.703921
803,0.00095419,0.244273
804,0.00114471,0.293046
805,0.00187707,0.480530
806,0.00015638,0.040033
807,0.00029796,0.076277
808,0.00103365,0.264615
809,0.00002447,0.006263
810,0.00204718,0.524078
811,0.00095618,0.244783
812,0.00288936,0.739677
813,0.00071903,0.184071
814,0.00052672,0.134841
815,0.00068139,0.174435
816,0.00162820,0.416820
817,0.00207915,0.532261
818,0.00140371,0.359349
819,0.00151646,0.388215
820,0.00120020,0.307250
821,0.00084734,0.216919
822,0.00266884,0.683223
823,0.00018827,0.048198
824,0.00080614,0.206373
825,0.00044590,0.114150
826,0.00038996,0.099830
827,0.00096298,0.246524
828,0.00141855,0.363150
829,0.00156726,0.401220
830,0.00144416,0.369705
831,0.00230349,0.589693
832,0.00028173,0.072123
833,0.00114064,0.292003
834,0.00235209,0.602135
835,0.00249883,0.639701
836,0.00276394,0.707568
837,0.00058060,0.148635
838,0.00384993,0.985581
839,0.00122799,0.314365
840,0.00013951,0.035715
841,0.00094606,0.242190
842,0.00219028,0.560711
843,0.00088565,0.226727
844,0.00016391,0.041961
845,0.00049546,0.126837
846,0.00020960,0.053658
847,0.00082004,0.209931
848,0.00354372,0.907192
